age,college,waorkingyear,parentcollege,salary
33.5,1,6,0,1957
31.7,0,0,0,1801
33.7,0,7,1,2339
32.9,1,4,1,1329
28.4,1,5,1,2596
30.8,0,6,1,2930
29.9,0,7,1,1958
28.8,0,5,0,3003
28.4,1,2,0,1473
33.7,1,5,0,2913
33.4,0,5,1,2237
38.4,1,10,1,1950
29.3,0,3,0,1911
30.6,0,2,0,2751
31.0,1,8,0,3389
39.6,0,3,0,1673
32.1,1,4,0,1580
38.5,0,1,1,2261
21.8,0,6,0,1338
29.4,1,10,0,2514
41.9,1,4,1,1494
30.7,1,5,0,2671
36.7,0,6,1,2236
29.6,1,6,1,1806
27.5,0,6,0,1992
34.9,0,6,0,1691
33.8,1,1,1,2154
33.5,0,1,0,1229
41.8,0,2,1,2637
30.1,1,11,0,1914
32.6,1,6,0,1845
37.9,1,0,0,2312
38.4,1,12,0,2099
30.5,1,11,1,2449
35.7,0,4,0,2427
33.9,0,6,0,1946
28.4,1,7,1,1571
36.6,1,9,1,1584
32.2,1,6,0,1692
31.9,1,10,0,2140
32.0,1,6,0,2421
35.9,0,8,0,2593
25.7,1,7,0,2407
33.8,1,4,1,2983
30.5,1,9,1,2388
27.6,1,6,1,2406
30.7,1,3,0,2468
32.2,1,0,1,2288
32.9,1,11,0,1795
28.6,1,3,0,2843
33.7,0,6,1,2643
31.9,1,4,0,1544
27.4,0,8,0,1255
32.7,1,10,0,2669
33.9,1,9,0,1151
28.7,0,8,1,2217
38.3,1,9,0,2183
39.7,1,8,0,1149
23.2,1,7,1,1615
32.5,1,9,0,2931
28.1,1,5,0,1796
27.1,1,7,1,2815
36.4,0,2,0,2088
31.9,0,4,0,2235
31.3,0,0,0,2492
34.9,1,8,0,2175
31.6,1,8,1,2098
26.9,0,2,0,1950
31.0,1,12,0,2185
37.9,1,6,0,1643
32.9,0,3,1,1811
35.6,1,3,0,2414
32.2,1,7,0,2341
26.4,1,8,0,1251
27.3,1,9,1,1172
35.3,1,3,0,1915
34.9,1,4,0,2246
40.3,1,9,0,3134
37.2,0,9,0,858
32.6,0,0,0,1542
37.7,0,2,0,1220
24.0,0,4,0,2249
29.8,0,6,1,2433
30.5,0,1,0,1738
23.7,1,3,1,2095
33.2,0,-2,0,1827
28.4,0,1,0,2434
32.5,1,2,1,2563
36.4,0,7,1,1482
29.0,0,5,1,2252
30.9,0,6,0,2034
35.7,1,5,1,2301
27.9,1,4,0,1185
38.1,1,9,0,2377
32.8,1,6,1,1902
26.3,1,10,0,2588
31.6,1,7,0,2104
37.7,1,4,0,1842
28.9,1,5,0,2286
36.4,0,5,1,2198
30.2,1,4,1,2430
28.9,0,5,0,1788
33.3,1,2,1,2255
37.4,1,10,1,1761
29.2,1,7,0,1829
26.2,1,8,1,2083
34.8,0,3,1,1745
35.7,0,1,1,2014
34.3,0,3,0,1528
36.0,0,-3,0,2584
32.4,1,8,1,2392
30.3,1,2,0,2243
31.5,0,5,0,2075
39.1,0,2,0,2567
31.9,1,6,1,1129
33.7,0,0,1,1764
35.2,1,7,1,1965
37.0,1,10,1,2010
29.5,0,7,1,1852
31.5,1,5,0,1343
29.7,0,2,1,2343
39.3,1,9,0,2523
32.6,0,6,0,2059
31.0,0,2,0,1267
37.5,0,1,0,1628
31.8,1,6,1,2204
34.5,1,9,0,1598
39.5,0,11,1,1503
38.1,1,5,0,2129
39.9,0,3,0,1948
30.2,1,5,1,2716
30.8,1,7,1,2442
33.8,0,7,0,2667
34.7,1,8,0,2456
27.5,0,0,0,2106
32.6,0,5,0,1977
39.2,1,6,0,1875
33.5,1,4,0,2651
30.2,1,4,0,1370
31.5,1,10,0,2278
27.6,1,7,0,2195
37.6,1,11,0,2621
36.2,0,8,1,2379
26.0,0,3,0,1646
36.0,1,8,1,3119
36.4,1,11,1,2768
37.8,0,1,0,1925
26.2,0,1,0,2658
38.5,0,9,1,1602
38.0,1,1,0,2036
33.3,1,13,0,1638
31.9,1,6,0,2843
29.5,0,5,1,2724
25.2,1,4,0,2085
36.7,0,4,1,2434
21.7,1,6,0,1851
32.5,0,3,0,2718
35.8,1,2,0,1844
33.1,1,6,0,2486
36.1,1,8,1,2243
32.6,1,3,1,1601
29.7,0,4,0,2320
30.4,0,2,0,1875
28.2,1,0,0,1893
31.8,1,5,0,1059
29.3,1,7,1,1847
37.1,0,5,0,1729
28.1,0,12,0,1752
32.4,0,6,1,3497
34.5,0,9,1,2438
34.0,0,9,0,826
37.1,1,2,1,1745
26.7,0,6,1,1706
28.3,0,4,0,2310
29.0,1,6,0,2662
36.7,0,0,0,2758
32.7,0,8,0,2047
31.5,1,10,0,2455
36.3,1,6,0,2814
34.4,0,1,0,1862
26.6,0,8,0,1318
32.7,1,8,1,2376
34.0,1,8,0,1454
39.2,1,3,0,1681
35.2,1,10,0,2224
34.3,1,10,0,2332
34.1,1,6,0,2188
28.8,0,7,1,1837
26.6,1,6,1,1685
28.9,0,2,0,1520
38.5,1,4,0,2461
32.6,0,3,0,2242
32.3,1,10,1,1321
22.0,1,8,0,2827
31.6,1,6,0,2527
31.2,0,4,0,1599
28.0,0,2,0,2245
29.5,1,5,1,2679
35.7,1,6,0,2709
31.8,1,7,0,2532
27.2,1,7,0,2751
31.1,0,4,0,2331
32.2,0,3,1,1413
30.4,1,6,1,3184
33.3,1,9,1,2737
37.4,1,6,1,2927
34.8,1,5,1,1047
24.9,1,3,0,1547
28.0,0,5,1,2258
31.1,1,8,0,1229
34.9,0,4,0,1963
37.1,0,4,1,1912
34.2,1,12,0,2236
31.3,0,7,0,2561
37.1,1,8,0,2440
40.0,1,9,0,1992
27.9,1,9,0,2971
31.1,1,2,1,2838
33.6,0,5,0,2060
33.2,1,7,1,1732
34.2,0,3,1,2293
37.1,1,9,0,2047
33.1,0,0,1,2679
29.4,1,16,1,2189
37.2,1,6,1,2289
34.0,0,4,1,2066
36.0,0,1,0,2555
25.0,1,9,1,2037
30.2,0,0,1,2024
42.7,0,0,0,2698
27.4,1,6,1,1767
25.8,1,8,1,2991
33.0,1,0,0,2921
36.9,0,9,0,1733
27.7,0,5,0,1854
31.9,1,6,0,2740
33.7,1,8,0,2192
33.0,0,6,1,1977
35.9,1,8,0,1998
40.9,1,8,1,2586
34.3,1,3,0,2005
32.8,1,6,1,2765
39.8,0,7,0,1414
38.2,0,4,0,1666
31.2,1,10,0,2607
33.4,0,2,0,2386
34.9,0,3,1,1710
38.7,1,6,0,1318
36.6,1,9,0,1646
32.5,0,3,1,2416
35.1,1,6,0,2553
29.3,0,8,1,2081
31.9,0,6,0,2380
36.8,0,3,0,2264
32.3,0,6,0,1819
34.8,1,6,1,2147
37.4,0,6,0,2107
30.8,1,3,1,1771
40.0,0,1,0,2085
25.1,0,-1,1,1466
29.7,1,14,1,1694
37.4,1,5,0,2319
37.2,1,11,1,2327
30.2,0,7,0,2197
26.2,0,5,1,2214
35.7,1,4,0,1889
34.1,1,6,1,2621
29.5,0,4,0,1373
33.9,1,5,0,1987
36.3,1,9,0,2535
28.2,1,5,0,2245
27.1,1,7,1,3037
34.3,0,7,0,3070
35.8,0,2,0,1832
43.3,1,7,0,2452
31.3,1,3,0,2080
39.1,0,8,0,1756
34.6,0,1,0,2147
34.6,1,9,1,2516
35.5,1,4,1,2047
36.6,1,4,0,1409
31.4,1,9,0,2059
33.6,1,6,1,1337
33.5,0,3,0,1842
26.3,1,12,0,1842
39.5,0,3,1,1345
34.3,1,11,1,2205
28.2,1,4,0,2566
35.0,0,8,1,2634
26.9,0,11,1,2452
30.0,0,5,1,2072
32.6,1,6,0,1834
36.8,0,4,1,2252
36.8,1,7,0,2358
33.6,1,3,1,2239
33.9,1,6,1,2444
32.1,1,7,1,2433
37.6,0,6,0,3066
34.6,1,7,0,2679
34.3,1,9,0,3743
32.7,0,5,0,1824
31.9,0,-3,0,1507
36.7,1,4,0,2671
34.5,0,6,0,2027
32.3,0,0,0,1423
27.4,1,6,0,3039
34.6,1,4,1,1826
36.6,1,4,0,2588
28.4,0,1,0,1137
23.9,1,10,1,2096
34.3,0,5,0,3057
32.8,0,0,0,1320
33.4,1,9,1,2075
35.1,0,7,0,2125
38.2,1,7,1,1918
29.1,1,3,0,2491
30.6,0,0,0,1828
27.2,1,6,0,1608
34.6,1,6,0,2789
32.1,1,5,0,2746
30.7,1,0,0,1444
33.3,0,7,1,2264
25.3,0,0,1,2019
34.3,0,3,0,2112
34.9,0,8,0,1988
37.3,1,9,1,2026
39.5,1,5,0,2511
35.5,0,5,1,1251
30.1,1,7,1,2696
31.0,0,5,1,2173
38.3,1,8,0,2477
24.8,0,3,0,2094
35.3,0,4,1,2993
33.6,0,10,0,2082
32.5,1,1,0,2064
26.6,1,7,0,2638
24.5,0,3,1,1876
38.9,0,7,1,2342
41.8,0,4,0,1982
34.8,1,13,0,1704
36.2,0,6,0,2925
28.9,0,6,0,2025
31.1,0,2,1,1670
33.2,1,7,0,2923
32.9,0,2,0,2756
30.8,1,10,0,2165
28.9,1,7,0,1677
28.6,1,10,0,2505
37.3,1,5,0,2228
36.1,0,10,1,1066
36.8,1,4,0,2158
36.8,0,10,1,2428
38.2,0,4,1,2178
30.4,1,9,1,3074
37.2,1,8,0,1658
30.1,1,2,0,1513
33.3,1,6,1,2684
37.9,1,5,0,723
35.5,1,8,1,2040
32.3,1,13,0,2666
37.4,0,3,1,2777
36.2,0,0,1,2990
28.2,1,7,1,2769
32.4,1,6,1,2068
25.2,0,3,0,1896
27.4,1,9,0,2234
31.7,1,-1,0,1920
29.4,1,6,0,2014
37.1,0,2,0,1423
37.3,0,4,0,1984
30.7,0,6,0,2783
32.9,1,6,0,1666
39.1,1,11,0,2699
38.8,1,5,0,1517
32.8,0,7,0,1873
35.9,1,4,0,1645
34.1,1,7,0,2430
41.2,1,7,0,2094
39.2,1,11,1,2708
33.1,1,2,0,1815
34.8,0,4,0,2405
33.4,0,6,0,1271
33.6,1,8,1,2239
30.0,1,11,1,2043
28.6,0,9,1,1523
31.5,1,8,1,3025
35.2,1,6,0,1700
27.4,0,5,0,2092
29.3,0,2,0,2357
31.7,1,0,0,1950
27.6,0,5,0,1607
37.5,1,6,1,1223
35.6,0,9,0,1324
36.0,1,7,1,2768
29.8,0,-2,1,2820
28.7,1,9,0,1991
30.3,1,7,1,2894
34.4,1,7,1,2479
29.8,1,11,1,1731
36.1,1,4,0,1549
33.9,0,0,1,2098
36.3,1,10,1,1434
32.4,1,6,0,2368
36.1,0,7,1,2397
36.4,1,6,1,2024
37.9,0,8,0,1860
28.8,1,6,0,2248
27.1,1,3,1,2471
29.8,1,10,1,2522
38.0,1,5,0,2317
32.1,1,8,0,1197
37.5,1,3,0,1629
34.2,0,5,1,1975
36.3,1,10,0,1895
37.8,1,10,1,2610
30.3,1,10,0,2120
32.1,1,7,1,2350
35.8,1,4,1,1547
35.5,1,2,0,2492
28.2,1,6,0,2200
36.9,1,6,1,2795
26.1,0,9,1,1903
32.7,1,5,0,1955
32.5,1,9,1,2761
36.9,1,1,0,2521
36.7,1,9,0,1754
34.1,1,7,0,1240
38.0,1,6,0,2229
34.1,1,2,1,2377
28.0,1,9,0,1965
30.2,1,10,0,2875
36.8,1,6,0,1900
35.2,0,9,0,2027
35.1,0,5,1,2632
37.0,0,4,0,1797
34.2,0,3,1,1671
27.7,1,8,0,1989
37.3,1,6,1,1817
41.5,1,3,0,1966
37.9,1,6,0,1702
29.7,1,8,0,2658
30.1,1,2,0,2211
27.6,0,2,1,2126
35.2,0,2,0,1805
34.2,1,9,0,1930
29.6,0,0,0,1854
35.2,1,8,0,2377
30.7,0,2,0,1544
34.4,1,10,1,2478
36.5,0,8,0,1546
27.6,1,8,0,2542
43.4,0,5,0,1272
27.1,1,5,1,1505
31.8,0,5,0,2274
36.8,0,6,0,1044
29.3,1,9,1,2130
30.1,1,3,0,2034
37.0,0,5,1,2679
34.4,1,0,1,1888
30.2,0,7,0,2606
30.5,1,8,0,2465
38.0,1,7,0,2668
40.9,1,9,1,1785
39.2,1,2,0,2043
26.2,0,5,0,1882
31.1,1,10,0,1892
24.6,1,6,1,1146
29.3,0,7,0,1269
31.6,0,3,0,2785
35.6,1,3,1,2129
39.4,0,9,0,2752
28.7,0,5,0,1455
30.1,0,3,0,1670
32.5,0,3,0,2040
38.9,0,4,1,1593
27.6,1,6,0,3291
29.4,0,7,0,2133
34.1,1,7,0,2270
41.6,1,4,1,2228
29.4,1,7,0,2036
36.2,1,3,1,2385
29.8,0,6,0,1803
37.0,0,0,0,1752
30.3,0,5,0,2452
32.8,1,11,1,1910
31.1,1,3,0,1471
36.1,1,7,0,2023
32.5,1,9,0,1511
38.8,0,7,1,2699
34.7,1,3,0,2346
29.2,1,10,0,2378
36.1,0,4,0,2100
27.0,0,9,0,2788
29.8,1,9,1,2402
32.5,0,0,0,2785
25.0,0,5,1,1249
34.8,0,4,1,1506
29.2,0,5,1,2105
32.3,1,4,0,2443
28.0,0,6,0,1842
38.3,1,10,0,1148
29.5,1,4,0,1676
28.3,0,1,0,2204
36.8,0,4,0,2609
30.2,1,4,0,1781
26.9,1,6,1,2643
31.4,1,5,0,1746
37.0,0,1,0,2754
32.0,0,1,0,1572
30.1,1,6,0,2023
31.5,1,6,1,1313
30.4,0,6,1,2743
27.5,0,5,0,1170
38.9,0,8,0,2125
31.8,0,6,0,2674
36.6,1,6,1,1704
36.0,0,5,1,2530
28.8,1,6,0,1454
33.0,1,7,0,2778
31.8,0,4,0,1776
31.1,0,6,0,1756
33.8,1,8,0,2018
29.2,1,12,1,1922
25.0,0,5,0,1631
36.1,1,2,1,2191
31.7,0,3,0,1770
30.9,1,7,0,1149
28.1,1,1,0,1359
30.4,0,7,0,2801
37.5,1,6,0,2216
28.4,0,4,1,1696
36.7,1,5,1,1532
35.7,0,7,0,2502
42.6,1,11,0,2362
33.1,0,5,1,2121
34.7,1,7,0,2275
25.2,1,7,0,2040
34.4,0,0,0,1313
36.6,1,10,0,1595
37.7,0,7,1,2529
38.5,1,7,1,1734
33.4,1,1,1,1665
35.3,1,10,1,2777
27.9,0,7,1,2708
28.5,1,9,0,2073
35.2,1,2,0,1485
33.5,0,6,0,771
34.8,1,9,0,2016
35.4,1,7,0,1833
30.5,1,4,1,2940
24.2,1,8,1,2431
36.6,1,8,1,2186
28.6,1,11,1,2805
34.1,1,2,0,2765
36.3,1,6,1,2860
29.2,0,3,1,2141
29.8,0,2,1,1964
33.3,0,0,0,2626
31.9,0,11,0,1730
41.8,1,5,1,3203
39.0,0,1,0,1920
28.5,0,7,0,2937
38.5,1,10,1,2391
32.7,0,9,0,2865
35.3,0,9,0,1301
31.5,1,4,0,1903
36.1,0,-1,0,1735
44.9,1,7,1,2220
31.7,1,7,0,2329
23.4,0,5,1,2541
34.4,0,4,1,1921
30.5,1,5,0,2482
35.2,1,8,1,1422
34.6,0,5,1,2339
32.1,1,10,0,1513
33.8,1,11,1,2790
41.9,1,1,0,1658
33.3,1,12,1,2222
27.8,1,3,1,2481
35.0,0,4,1,2428
31.3,0,5,0,2540
32.6,1,9,0,2032
29.2,1,5,0,1936
38.3,0,3,1,2141
35.2,0,4,0,1833
28.6,1,6,0,837
26.1,1,7,0,1746
34.4,1,6,0,1983
31.3,1,6,0,2520
33.0,1,8,1,2763
32.0,0,4,1,2287
27.9,1,19,0,1806
35.6,1,7,0,2350
32.0,1,11,0,3065
31.9,1,12,1,1563
36.8,1,7,0,1869
36.3,1,8,0,2311
28.2,1,8,0,1853
37.4,0,5,1,3090
41.8,0,6,1,2194
29.8,1,8,0,1376
35.8,1,4,1,2072
41.1,1,10,0,2094
25.3,1,6,0,1128
30.3,1,7,1,2688
32.3,0,0,0,1728
33.6,1,8,1,2413
31.3,1,8,0,2288
36.8,1,5,1,2983
31.1,1,11,1,2437
37.5,0,0,0,1899
24.5,0,0,0,1761
33.8,1,6,0,1474
33.4,1,9,1,1382
37.8,1,5,1,2374
30.9,1,8,1,2175
37.4,1,7,1,1619
35.8,1,7,0,2136
36.0,1,4,1,2104
30.0,1,4,1,1317
39.5,1,4,1,2512
29.0,1,7,0,1945
49.1,0,6,1,2078
27.4,0,2,0,2150
27.4,1,4,1,2052
34.9,0,4,1,1926
37.5,1,11,1,2139
37.1,1,9,0,1760
34.3,1,5,1,1176
32.2,0,3,0,2285
29.4,1,7,0,2276
37.5,0,8,1,1878
37.8,0,2,0,2112
33.0,1,7,1,2138
32.6,1,8,0,2392
32.7,0,4,0,2545
33.9,1,12,0,2010
37.8,0,9,1,2574
31.2,0,9,0,1107
31.9,0,3,0,2202
29.4,0,4,0,1802
37.3,1,7,0,2282
32.3,0,-1,1,1735
33.7,1,10,0,2773
42.3,1,10,1,1522
34.2,1,6,0,2552
35.5,1,1,1,2115
38.3,1,10,1,2396
32.7,0,6,0,654
36.8,1,4,0,2028
38.9,0,6,0,1945
31.7,0,10,0,1981
34.2,0,7,0,1972
34.8,0,1,1,1230
38.8,1,8,1,1921
33.9,1,6,0,2477
40.9,1,5,0,2106
35.0,1,7,1,2784
41.7,1,0,1,1471
30.0,1,12,1,2214
34.6,1,11,1,2393
30.1,0,3,0,2185
35.9,1,9,0,2111
32.7,1,6,0,1722
40.8,1,8,0,2309
33.7,1,4,1,2288
36.0,1,8,0,1492
30.9,1,5,1,1826
30.0,1,8,0,2763
33.1,1,9,1,2324
35.9,1,8,0,2421
34.7,0,3,0,1735
31.1,1,7,0,2595
33.6,1,2,0,1460
26.1,1,9,1,2751
30.4,1,6,0,1882
34.7,1,7,1,2861
34.7,1,9,1,2259
36.7,1,5,1,1895
24.5,1,6,0,1787
29.1,1,2,0,1850
29.5,0,1,0,2182
30.7,1,12,0,2187
30.5,0,6,1,2321
36.4,0,8,1,2569
33.2,1,10,0,1231
33.2,1,12,0,2232
36.9,1,4,0,1670
34.5,0,9,0,2836
37.1,0,1,1,2363
34.1,0,4,0,2884
29.1,0,5,1,2730
36.0,0,1,1,1116
30.3,1,9,0,1953
28.0,1,7,1,2033
35.8,1,5,0,2259
38.1,1,6,0,1899
21.1,1,6,0,2594
38.9,1,4,1,2008
26.5,0,4,1,2190
29.0,1,8,1,2587
33.0,1,7,1,2842
33.5,0,9,0,1074
30.4,1,7,1,1795
30.8,1,4,0,2428
30.6,0,2,0,2139
32.0,1,4,0,2264
32.9,1,8,1,1740
38.0,1,1,1,1413
30.0,0,2,0,2034
32.8,1,4,0,2235
32.0,0,3,0,1583
29.2,0,7,0,2012
33.2,1,6,1,2488
39.9,0,4,0,2142
29.1,1,7,0,1871
35.7,0,0,1,1526
32.7,0,5,0,3049
31.1,1,10,0,2437
27.1,0,0,0,2059
30.8,0,8,1,1898
26.1,1,7,0,2915
31.3,1,4,0,1132
42.3,1,6,1,1865
29.4,1,6,0,1565
31.3,0,6,0,1784
38.0,1,6,1,1786
35.6,0,-1,0,2969
26.8,1,5,0,2498
22.2,1,9,0,1903
29.5,1,7,0,1910
33.8,1,8,1,2028
36.4,1,10,0,2356
40.0,1,2,1,2745
40.8,1,6,1,1747
