age,college,waorkingyear,salary
30.1,0,8,1476
32.6,0,1,1405
37.9,0,2,864
38.4,0,8,3225
30.5,0,6,1818
35.7,1,6,2813
33.9,1,2,2533
28.4,0,1,2102
36.6,0,8,1617
32.2,0,3,1963
31.9,0,0,1863
32.0,0,6,1762
35.9,1,5,2504
25.7,0,3,1806
33.8,1,10,2294
30.5,0,6,2535
27.6,0,4,1607
30.7,0,3,2025
32.2,0,4,1522
32.9,0,7,2685
28.6,0,4,1503
33.7,1,8,2490
31.9,0,6,1690
27.4,1,7,1793
32.7,0,1,2366
33.9,0,5,1946
28.7,1,11,1844
38.3,0,10,3003
39.7,0,0,1745
23.2,0,3,2692
32.5,0,5,1645
28.1,1,4,2685
27.1,0,6,3077
36.4,1,12,2330
31.9,1,8,2058
31.3,1,16,2131
34.9,0,4,2059
31.6,0,0,1398
26.9,1,8,2082
31.0,0,6,2167
37.9,1,0,2431
32.9,1,6,2211
35.6,0,1,2350
32.2,0,5,2147
26.4,0,5,640
27.3,0,8,1647
35.3,0,1,2283
34.9,0,5,1233
40.3,1,10,2118
37.2,1,5,1668
32.6,1,11,1736
37.7,1,8,1505
24.0,1,0,2739
29.8,1,12,2306
30.5,1,4,1443
23.7,0,8,2417
33.2,1,6,2600
28.4,1,4,2150
32.5,0,3,1475
36.4,1,4,1232
29.0,1,8,2100
30.9,1,10,2085
35.7,1,8,1909
27.9,0,4,829
38.1,0,1,2431
32.8,0,6,1310
26.3,0,2,1760
31.6,1,8,2712
37.7,0,2,2407
28.9,0,3,1763
36.4,1,5,2177
30.2,0,8,2142
28.9,1,7,2153
33.3,0,9,2354
37.4,0,0,1737
29.2,0,5,1946
26.2,0,6,3002
34.8,1,3,1196
35.7,1,6,2216
34.3,1,-1,1773
36.0,1,6,2616
32.4,1,8,2016
30.3,0,2,3124
31.5,1,5,2308
39.1,1,8,2325
31.9,1,12,1831
33.7,1,8,2221
35.2,0,3,1552
37.0,0,11,2576
29.5,1,6,2295
31.5,0,7,2548
29.7,1,6,1893
39.3,0,3,2943
32.6,1,5,1665
31.0,1,7,3025
37.5,1,0,2004
31.8,0,3,2445
34.5,0,8,2268
39.5,1,3,1432
38.1,0,0,1929
39.9,1,4,1930
30.2,0,4,2197
30.8,1,8,3200
33.8,1,5,1944
34.7,0,1,1273
27.5,1,8,2259
32.6,1,8,2018
39.2,0,1,1725
33.5,0,3,2383
30.2,0,4,686
31.5,0,5,1948
27.6,1,5,1763
37.6,0,6,2016
36.2,1,9,2443
26.0,1,13,2080
36.0,0,4,2719
36.4,0,5,1745
37.8,1,5,2525
26.2,1,11,1789
38.5,1,9,2179
38.0,1,7,2287
33.3,1,4,2913
31.9,0,3,1303
29.5,1,5,2051
25.2,0,4,2201
36.7,1,3,2378
21.7,0,6,2864
32.5,1,5,2908
35.8,0,2,2261
33.1,0,5,1959
36.1,0,6,2117
32.6,0,2,1609
29.7,1,9,1121
30.4,1,6,2294
28.2,0,2,1915
31.8,0,0,2817
29.3,1,4,2267
37.1,1,6,953
28.1,1,1,2481
32.4,1,13,2323
34.5,1,9,2163
34.0,1,8,2947
37.1,1,6,1720
26.7,1,7,1153
28.3,1,9,2741
29.0,0,6,1927
36.7,1,5,2538
32.7,1,12,2119
31.5,0,10,2608
36.3,0,5,2016
34.4,1,7,1623
26.6,1,2,2666
32.7,0,7,1726
34.0,0,4,2294
39.2,1,7,1542
35.2,0,10,2170
34.3,0,4,2599
34.1,1,2,2632
28.8,1,9,2700
26.6,0,3,2121
28.9,1,5,1649
38.5,1,7,1355
32.6,1,6,2001
32.3,0,1,2004
22.0,0,5,2711
31.6,0,1,1843
31.2,1,9,2530
28.0,1,9,1183
29.5,1,7,2524
35.7,0,9,2106
31.8,0,8,1978
27.2,1,3,1290
31.1,1,8,2522
32.2,1,7,2669
30.4,0,5,1935
33.3,0,5,2724
37.4,0,3,2042
34.8,0,6,1932
24.9,0,3,1834
28.0,1,4,2404
31.1,0,5,1927
34.9,1,3,1613
37.1,1,2,2012
34.2,1,7,2432
31.3,1,0,1382
37.1,1,8,1784
40.0,0,0,1651
27.9,0,6,2393
31.1,0,8,1248
33.6,1,6,2348
33.2,1,0,1671
34.2,1,4,2722
37.1,0,8,2563
33.1,1,3,2406
29.4,0,0,2015
37.2,0,7,1831
34.0,1,1,2124
36.0,1,6,2335
25.0,0,4,2405
30.2,1,1,1529
42.7,1,8,2215
27.4,0,4,793
25.8,0,7,2441
33.0,0,7,2278
36.9,1,6,2204
27.7,1,7,2614
31.9,0,7,1288
33.7,0,7,2172
33.0,1,10,2822
35.9,0,7,2033
40.9,0,7,2436
34.3,0,4,1697
32.8,0,3,1473
39.8,1,8,2865
38.2,1,11,2184
31.2,0,4,1842
33.4,1,5,1942
34.9,1,7,2082
38.7,1,3,2063
36.6,0,7,2495
32.5,1,3,2164
35.1,0,3,1579
29.3,1,12,2171
31.9,1,5,1526
36.8,1,4,2459
32.3,1,6,1427
34.8,0,2,2135
37.4,1,3,2839
30.8,0,2,1464
40.0,1,9,2307
25.1,1,6,2611
29.7,0,6,2398
37.4,0,4,1362
37.2,1,8,2701
30.2,1,5,2002
26.2,1,7,2926
35.7,0,8,2460
34.1,0,2,1244
29.5,1,5,2156
33.9,0,4,1938
36.3,0,5,2073
28.2,0,2,1649
27.1,0,5,2266
34.3,1,6,2741
35.8,1,5,1673
43.3,0,-1,1491
31.3,0,8,2006
39.1,1,6,1773
34.6,1,0,2020
34.6,0,3,1854
35.5,0,3,1446
36.6,0,7,1418
31.4,1,10,2057
33.6,0,7,2039
33.5,1,1,2372
26.3,0,0,2078
39.5,1,12,2682
34.3,0,6,2298
28.2,0,3,1886
35.0,1,5,2193
26.9,1,12,2077
30.0,1,9,2174
32.6,0,4,1960
36.8,1,5,2421
36.8,0,4,2327
33.6,1,9,3067
33.9,1,7,2160
32.1,0,0,1338
37.6,1,10,1885
34.6,0,3,2057
34.3,0,9,1098
32.7,1,8,2519
31.9,1,2,2100
36.7,0,6,1873
34.5,1,9,1957
32.3,1,5,2562
27.4,0,9,2864
34.6,1,3,2138
36.6,0,0,2104
28.4,1,5,2204
23.9,1,3,1384
34.3,1,3,2649
32.8,1,7,2548
33.4,1,8,2188
35.1,1,6,1287
38.2,0,6,2699
29.1,0,-1,2490
30.6,1,9,2541
27.2,0,4,1336
34.6,0,2,2225
32.1,0,0,2444
30.7,1,1,2152
33.3,1,7,1804
25.3,1,12,2475
34.3,1,3,2395
34.9,1,5,2833
37.3,0,4,1311
39.5,0,9,2015
35.5,1,6,1851
30.1,0,1,1667
31.0,1,7,1408
38.3,0,5,3144
24.8,1,4,1902
35.3,1,5,1493
33.6,1,10,2543
32.5,0,1,2600
26.6,0,10,2803
24.5,1,6,2876
38.9,1,4,1698
41.8,1,6,1009
34.8,0,1,2088
36.2,1,7,2231
28.9,1,10,2198
31.1,1,4,2020
33.2,0,4,1793
32.9,1,8,2366
30.8,0,1,2115
28.9,0,2,2549
28.6,1,5,2874
37.3,0,3,1096
36.1,1,9,3117
36.8,0,8,1520
36.8,1,4,1994
38.2,1,9,2315
30.4,0,3,2421
37.2,0,4,1701
30.1,0,6,1712
33.3,0,7,1991
37.9,0,9,2038
35.5,0,1,2030
32.3,0,6,1985
37.4,1,8,2037
36.2,1,4,2426
28.2,1,2,2013
32.4,0,3,4186
25.2,1,8,2272
27.4,0,7,2807
31.7,0,2,2962
29.4,0,2,2066
37.1,1,6,2386
37.3,1,5,2353
30.7,1,9,2234
32.9,0,6,2221
39.1,0,8,2323
38.8,0,8,1609
32.8,1,6,2656
35.9,0,6,1954
34.1,0,5,2050
41.2,0,4,1168
39.2,0,0,2310
33.1,0,4,2284
34.8,1,8,1869
33.4,1,6,2957
33.6,0,3,1343
30.0,0,5,1170
28.6,1,7,2110
31.5,1,7,2589
35.2,0,3,1733
27.4,1,1,2358
29.3,1,11,2242
31.7,0,3,2132
27.6,1,10,1795
37.5,1,6,1760
35.6,1,7,1650
36.0,0,7,2043
29.8,1,4,2356
28.7,0,6,1699
30.3,0,4,1544
34.4,1,5,2101
29.8,0,7,2736
36.1,0,6,2437
33.9,1,7,1846
36.3,0,8,1742
32.4,0,9,2106
36.1,1,9,2728
36.4,0,2,1622
37.9,1,7,2159
28.8,0,6,2319
27.1,0,6,1893
29.8,1,5,3038
38.0,0,6,2772
32.1,0,5,2844
37.5,0,6,1800
34.2,1,8,2096
36.3,0,12,2087
37.8,1,5,1089
30.3,1,6,2637
32.1,0,4,2589
35.8,0,5,1935
35.5,0,1,1113
28.2,0,2,2536
36.9,0,3,2262
26.1,1,8,1668
32.7,0,2,2261
32.5,0,5,2885
36.9,0,3,2463
36.7,0,10,1537
34.1,0,6,2360
38.0,0,1,1912
34.1,1,8,1860
28.0,0,0,2124
30.2,0,7,976
36.8,0,1,2900
35.2,1,3,2902
35.1,1,7,1885
37.0,1,8,2579
34.2,1,14,2116
27.7,0,9,2341
37.3,1,11,1683
41.5,1,8,2470
37.9,0,6,1832
29.7,0,6,2303
30.1,0,-1,2425
27.6,1,11,2436
35.2,1,2,1856
34.2,0,-2,2065
29.6,1,5,1418
35.2,0,7,2455
30.7,1,4,2125
34.4,0,6,2124
36.5,1,3,2465
27.6,0,7,1868
43.4,1,2,1961
27.1,0,2,1303
31.8,1,8,1574
36.8,1,5,3008
29.3,0,7,2359
30.1,0,3,2581
37.0,1,9,2726
34.4,0,6,2921
30.2,1,6,1768
30.5,0,12,2735
38.0,0,1,1456
40.9,0,3,1877
39.2,1,7,2291
26.2,1,7,1574
31.1,0,1,2398
24.6,0,0,2038
29.3,1,5,1874
31.6,1,7,2119
35.6,0,5,1997
39.4,1,8,1676
28.7,1,9,2058
30.1,1,7,2424
32.5,1,8,2177
38.9,1,5,2803
27.6,1,5,2212
29.4,1,5,1650
34.1,1,9,1746
41.6,0,4,1691
29.4,0,8,2361
36.2,0,7,1160
29.8,1,6,1795
37.0,1,11,1808
30.3,1,6,1905
32.8,0,9,2519
31.1,0,8,1965
36.1,0,6,1965
32.5,1,6,2234
38.8,1,4,1369
34.7,1,4,2218
29.2,1,7,2664
36.1,1,7,1212
27.0,1,4,2668
29.8,0,3,2056
32.5,1,3,1725
25.0,1,6,2102
34.8,1,4,2064
29.2,1,6,2364
32.3,0,6,1894
28.0,1,4,1110
38.3,0,4,1710
29.5,0,-2,2446
28.3,1,8,2281
36.8,1,4,2307
30.2,0,9,2563
26.9,0,8,1342
31.4,1,8,2092
37.0,1,8,1815
32.0,1,8,2776
30.1,0,3,1608
31.5,0,5,2732
30.4,1,9,2649
27.5,1,7,1897
38.9,1,5,1649
31.8,1,12,1656
36.6,0,8,2193
36.0,1,4,1732
28.8,0,2,2416
33.0,0,0,1781
31.8,1,3,1803
31.1,1,3,2233
33.8,0,2,2259
29.2,0,2,2301
25.0,1,5,2081
36.1,0,9,1972
31.7,1,6,3425
30.9,0,-1,1491
28.1,0,5,1710
30.4,1,13,2389
37.5,0,5,1143
28.4,1,9,1522
36.7,0,8,1720
35.7,1,9,2184
42.6,0,7,1699
33.1,1,8,2498
34.7,0,1,1752
25.2,1,9,1864
34.4,1,6,2795
36.6,0,3,2406
37.7,1,5,2000
38.5,0,3,1424
33.4,1,6,1245
35.3,0,1,2174
27.9,1,10,2964
28.5,0,10,2312
35.2,0,6,1732
33.5,1,7,2059
34.8,0,3,1576
35.4,0,1,1729
30.5,0,3,2444
24.2,0,4,1945
36.6,0,8,2156
28.6,0,0,1401
34.1,0,6,2232
36.3,0,6,1812
29.2,1,4,2061
29.8,1,6,2240
33.3,1,12,2144
31.9,1,10,2062
41.8,1,4,2643
39.0,1,1,2315
28.5,1,6,2995
38.5,0,1,1606
32.7,1,9,1978
35.3,1,8,2053
31.5,0,3,1483
36.1,1,8,2375
44.9,0,7,1442
31.7,0,10,2260
23.4,1,6,1601
34.4,1,4,2744
30.5,0,5,2395
35.2,0,6,1065
34.6,1,5,1586
32.1,0,3,2068
33.8,0,1,2865
41.9,0,6,1192
33.3,0,4,1970
27.8,0,5,3112
35.0,1,2,2233
31.3,1,6,2151
32.6,0,7,1736
29.2,0,6,2039
38.3,1,13,1960
35.2,1,6,1765
28.6,0,5,2243
26.1,0,2,1982
34.4,1,15,2624
31.3,0,4,1647
33.0,0,3,1710
32.0,1,7,1400
27.9,0,3,1621
35.6,0,5,2100
32.0,1,6,2228
31.9,0,0,2576
36.8,0,4,2366
36.3,0,3,1800
28.2,0,3,2043
37.4,1,14,1311
41.8,1,7,1700
29.8,0,8,949
35.8,1,7,3032
41.1,0,0,2128
25.3,1,9,2243
30.3,1,8,2683
32.3,1,5,724
33.6,0,6,3329
31.3,0,3,1173
36.8,1,7,3049
31.1,0,3,2376
37.5,1,4,1150
24.5,1,10,2893
33.8,0,3,2005
33.4,0,9,1496
37.8,0,6,2243
30.9,1,9,1782
37.4,0,5,2261
35.8,1,5,2667
36.0,0,7,1199
30.0,0,4,2364
39.5,0,2,2227
29.0,0,2,2580
49.1,1,4,2393
27.4,1,5,2369
27.4,1,5,3211
34.9,1,5,2453
37.5,1,11,1655
37.1,0,8,2172
34.3,0,4,1868
32.2,1,6,1702
29.4,0,6,1607
37.5,1,5,1939
37.8,1,6,2000
33.0,0,8,1842
32.6,0,5,1617
32.7,1,3,2705
33.9,0,3,2690
37.8,1,6,2101
31.2,1,9,2152
31.9,1,9,2484
29.4,1,7,1639
37.3,0,3,3075
32.3,1,7,802
33.7,0,8,2451
42.3,0,9,2090
34.2,0,7,1677
35.5,0,0,1980
38.3,1,8,1619
32.7,1,5,1860
36.8,0,5,1888
38.9,1,4,2057
31.7,1,3,2142
34.2,1,7,2817
34.8,1,5,1236
38.8,0,3,2407
33.9,0,4,2625
40.9,0,3,2202
35.0,0,8,1425
41.7,0,7,2036
30.0,0,3,1635
34.6,0,0,2376
30.1,1,7,2053
35.9,1,7,2526
32.7,0,8,1723
40.8,1,4,2750
33.7,0,2,1607
36.0,1,8,1644
30.9,1,3,2418
30.0,0,6,2608
33.1,0,4,1798
35.9,0,6,1348
34.7,1,6,618
31.1,0,9,1642
33.6,0,7,1659
26.1,0,7,2136
30.4,0,9,1450
34.7,0,4,1957
34.7,0,7,1781
36.7,0,3,1388
24.5,0,6,1997
29.1,0,7,2368
29.5,1,0,1492
30.7,0,5,2522
30.5,1,9,2225
36.4,1,7,2037
33.2,0,0,3407
33.2,1,7,2734
36.9,0,10,2365
34.5,1,11,2560
37.1,1,14,3058
34.1,1,7,2549
29.1,1,6,1812
36.0,1,8,1567
30.3,0,10,1943
28.0,0,5,2189
35.8,0,2,2537
38.1,0,8,1616
21.1,0,8,2580
38.9,0,5,2612
26.5,1,8,1900
29.0,0,5,2151
33.0,0,3,1309
33.5,1,7,2791
30.4,0,2,2259
30.8,0,7,1644
30.6,1,9,1157
32.0,1,1,2270
32.9,0,3,1594
38.0,0,7,1846
30.0,1,9,2968
32.8,0,3,2407
32.0,1,7,1381
29.2,1,9,2509
33.2,0,6,1798
39.9,1,11,2836
29.1,0,3,2812
35.7,1,12,1565
32.7,1,8,1634
31.1,0,4,2078
27.1,1,7,2546
30.8,1,7,1880
26.1,1,10,1681
31.3,0,5,2491
42.3,0,3,2460
29.4,0,5,1798
31.3,1,3,1963
38.0,0,2,1784
35.6,1,4,1988
26.8,0,2,1717
22.2,0,7,528
29.5,0,6,2288
33.8,1,9,1346
36.4,1,9,2211
40.0,0,0,1252
40.8,0,9,2431
